Index,LT,Age,Country,Locality,Site,Date,GPS Latitude N,GPS Longitude E,End-Start (Intercept),Genus,Species,AphiaID,Depth [m],ReefZone
67,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,Millepora,dichotoma,210733,1,Reef edge
68,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,50,Millepora,dichotoma,210733,1,Reef edge
69,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,26,Millepora,dichotoma,210733,1,Reef edge
70,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,11,Millepora,dichotoma,210733,1,Reef edge
71,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,75,Millepora,dichotoma,210733,1,Reef edge
72,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,15,Millepora,dichotoma,210733,1,Reef edge
73,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,9,Tridacna,maxima,207675,1,Reef edge
74,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,2,Ceraesignum,maximum,766307,1,Reef edge
75,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,2,Tridacna,maxima,207675,1,Reef edge
76,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,4,Echinometra,mathaei,213383,1,Reef edge
77,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,40,NA,NA,NA,1,Reef edge
78,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
79,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,56,NA,NA,NA,1,Reef edge
80,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
81,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
82,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,19,NA,NA,NA,1,Reef edge
83,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
84,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,15,NA,NA,NA,1,Reef edge
85,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,11,NA,NA,NA,1,Reef edge
86,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,6,NA,NA,NA,1,Reef edge
87,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
88,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,14,NA,NA,NA,1,Reef edge
89,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,26,NA,NA,NA,1,Reef edge
90,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,6,NA,NA,NA,1,Reef edge
91,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,31,NA,NA,NA,1,Reef edge
92,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,40,NA,NA,NA,1,Reef edge
93,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,26,NA,NA,NA,1,Reef edge
94,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,36,NA,NA,NA,1,Reef edge
95,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,20,NA,NA,NA,1,Reef edge
96,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,31,NA,NA,NA,1,Reef edge
97,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,44,NA,NA,NA,1,Reef edge
98,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,12,NA,NA,NA,1,Reef edge
99,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,58,NA,NA,NA,1,Reef edge
100,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,47,NA,NA,NA,1,Reef edge
101,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,69,NA,NA,NA,1,Reef edge
102,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,18,NA,NA,NA,1,Reef edge
103,A1A2,Modern,Egypt,El Quseir,Mangrove Bay,22/10/2023,25.87015,34.41968333,26,NA,NA,NA,1,Reef edge
104,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,4,NA,NA,NA,1,Reef edge
105,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
106,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,4,NA,NA,NA,1,Reef edge
107,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,18,Acropora,sp.,205469,1,Reef edge
108,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,12,Acropora,sp.,205469,1,Reef edge
109,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,16,NA,NA,NA,1,Reef edge
110,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,20,NA,NA,NA,1,Reef edge
111,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,5,NA,NA,NA,1,Reef edge
112,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,15,NA,NA,NA,1,Reef edge
