"Index","LT","Age","Country","Locality","Site","Date","GPS Latitude N","GPS Longitude E","End-Start (Intercept)","Genus","Species","AphiaID","Depth [m]","ReefZone","Category"
81,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
81,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
82,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,19,NA,NA,NA,1,"Reef edge",NA
83,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
83,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
84,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,15,NA,NA,NA,1,"Reef edge",NA
85,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,11,NA,NA,NA,1,"Reef edge",NA
86,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,NA,NA,NA,1,"Reef edge",NA
86,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,NA,NA,NA,1,"Reef edge",NA
87,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
87,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
88,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,14,NA,NA,NA,1,"Reef edge",NA
89,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
89,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
90,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,NA,NA,NA,1,"Reef edge",NA
90,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,6,NA,NA,NA,1,"Reef edge",NA
91,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,31,NA,NA,NA,1,"Reef edge",NA
92,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,40,NA,NA,NA,1,"Reef edge",NA
93,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
93,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
94,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,36,NA,NA,NA,1,"Reef edge",NA
95,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,20,NA,NA,NA,1,"Reef edge",NA
95,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,20,NA,NA,NA,1,"Reef edge",NA
96,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,31,NA,NA,NA,1,"Reef edge",NA
97,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,44,NA,NA,NA,1,"Reef edge",NA
98,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,NA,NA,NA,1,"Reef edge",NA
98,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,12,NA,NA,NA,1,"Reef edge",NA
99,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,58,NA,NA,NA,1,"Reef edge",NA
100,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,47,NA,NA,NA,1,"Reef edge",NA
101,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,69,NA,NA,NA,1,"Reef edge",NA
102,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,18,NA,NA,NA,1,"Reef edge",NA
103,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
103,"A1A2","Modern","Egypt","El Quseir","Mangrove Bay","22/10/2023",25.87015,34.41968333,26,NA,NA,NA,1,"Reef edge",NA
104,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,4,NA,NA,NA,1,"Reef edge",NA
104,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,4,NA,NA,NA,1,"Reef edge",NA
105,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
105,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
105,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
106,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,4,NA,NA,NA,1,"Reef edge",NA
106,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,4,NA,NA,NA,1,"Reef edge",NA
107,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,18,"Acropora","sp.",205469,1,"Reef edge","ACB"
108,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,12,"Acropora","sp.",205469,1,"Reef edge","ACB"
109,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,16,NA,NA,NA,1,"Reef edge",NA
109,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,16,NA,NA,NA,1,"Reef edge",NA
110,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,20,NA,NA,NA,1,"Reef edge",NA
110,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,20,NA,NA,NA,1,"Reef edge",NA
111,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,5,NA,NA,NA,1,"Reef edge",NA
111,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,5,NA,NA,NA,1,"Reef edge",NA
112,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,15,NA,NA,NA,1,"Reef edge",NA
112,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,15,NA,NA,NA,1,"Reef edge",NA
113,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,6,NA,NA,NA,1,"Reef edge",NA
114,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
114,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
